"table s7 : trends in public confidence in the police and local council, year ending march 2008 to year ending march 2017 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,age_band
England and Wales,,,,,,,,,,,,Adults aged 16 and over,unknown
,Apr '07 to Mar '08,Apr '08 to Mar '09,Apr '09 to Mar '10,Apr '10 to Mar '112,Apr '11 to Mar '122,Apr '12 to Mar '13,Apr '13 to Mar '14,Apr '14 to Mar '15,Apr '15 to Mar '16,,April 2016 to March 2017  compared with:,,unknown
,,,,,,,,,,Apr '16 to Mar '17,Apr '11 to Mar '123,Apr '15 to Mar '16,unknown
,,Percentage saying police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area,,,,,,,,,Statistically significant difference,,unknown
Agree,44.943229857570785,48.644435171440996,51.36869329717093,52.3315116473245,61.27916803084949,59.204343608834186,61.18666022119952,62.14113729069655,62.391842799595096,61.250349599169475,,*,unknown
Disagree,25.1008489592332,22.416188500722313,19.599766659731387,17.976020107324256,15.914192999944284,16.325574576931356,15.004868420300555,13.960842897896718,13.703119298452055,14.72497370449361,*,*,unknown
No opinion,29.955921183196004,28.93937632783601,29.031540043096882,29.69246824535093,22.806638969206347,24.47008181423447,23.808471358499805,23.89801981140667,23.905037901952785,24.024676696336897,*,,unknown
Unweighted base - number of adults4,19720,45041,43372,45393,44618,33621,34010,31914,33336,33679,,,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,,,,,,unknown
1. Previously published data on 'police and local council seek people's views' and 'police and local council keep people informed' are no longer available from year ending March 2012 onwards.,,,,,,,,,,,,,unknown
2. Numbers from year ending March 2012 CSEW onwards are not directly comparable with those previous. See the methodological note published alongside Focus On: Public Perceptions of Policing 2011/12 for more information.,,,,,,,,,,,,,unknown
3. Significance tests are presented for comparisons with year ending March 2012 as this is the earliest year that is directly comparable with the latest figures.,,,,,,,,,,,,,unknown
4. Only half the overall sample were asked this question in year ending March 2008.,,,,,,,,,,,,,unknown
